Name,Description,Website,Latitude,Longitude
Pacific Beach Coalition,"Monthly Adopt-A-Beach Program cleanups around Pacifica, Daly City, Montara and Half Moon Bay",https://www.pacificbeachcoalition.org/,32.8038,-117.2362
International Volunteer HQ’s Marine Conservation,Diving to carry out marine life conservation activities in Madagascar,https://www.volunteerhq.org/destinations/madagascar/marine-conservation-in-nosy-komba/,-13.46958,48.34795
International Volunteer HQ’s Sea Turtle Conservation,Turtle care and conservation program off the southeastern coast of Bali.,"https://www.volunteerhq.org/destinations/bali/turtle-conservation-in-nusa-penida/#:~:text=International%20Volunteer%20HQ's%20Sea%20Turtle,these%20incredible%20creatures%20in%20Indonesia.",-8.745652,115.5347
Marin Sanitary Service,Marine garbage collection service,https://marinsanitaryservice.com/,40.74189,-73.98931
Pacific Discovery,Gap year semester and summer programs,https://www.pacificdiscovery.org/,-45.01225,168.7551
Ocean Conservancy,Removing trash from the world's beaches and waterways,https://oceanconservancy.org/trash-free-seas/international-coastal-cleanup/,38.9072,77.0369
Madagascar Research & Conservation Institute,Undertaking environmental research through various volunteer programs in Madagascar,https://www.madagascarvolunteer.com/,-13.39819,48.26755
Environmental Scuba Diving Volunteer Project in Portugal - Lisbon,Protecting and preserving marine ecosystems while scuba diving,https://www.volunteerhq.org/destinations/portugal/environmental-scuba-diving-in-lisbon/,38.7223,9.1393
Marine Conservation Volunteer Program in Croatia - Omiš,Gain scuba diving experience while protecting underwater sea life,https://www.volunteerhq.org/destinations/croatia/marine-conservation-in-omis/,43.5147,16.4435
Chesapeake Bay-Virginia National Estuarine Research Reserve,"Managing diverse habitats, from tidal freshwater to high salinity condition",https://coast.noaa.gov/nerrs/reserves/chesapeake-bay-va.html,36.96507,-76.11311
Heal the Bay,An environmental nonprofit in Greater Los Angeles,https://healthebay.org/,34.01926,-118.4893